date,refactoring,qt
2015-06,RCWP,101
2015-06,RDWO,77
2015-07,CCE,258
2015-07,DC,258
2015-07,EM,259
2015-07,IPO,258
2015-07,PWO,258
2015-07,RMWMO,264
2015-07,RTWQ,258
2015-07,EH,27
2015-07,EI,27
2015-07,ESupC,27
2015-07,MF,27
2015-07,MM,33
2015-07,PF,27
2015-07,PM,27
2015-07,RCWP,33
2015-07,RDWO,27
2015-07,EC,1
2015-08,ECo,1
2015-08,EF,1
2015-08,EM,648
2015-08,HM,1
2015-08,MM,104
2015-08,CCE,646
2015-08,DC,646
2015-08,IPO,646
2015-08,PWO,646
2015-08,RMWMO,660
2015-08,RTWQ,646
2015-08,EH,89
2015-08,EI,89
2015-08,ESupC,89
2015-08,MF,89
2015-08,PF,89
2015-08,PM,89
2015-08,RCWP,103
2015-08,RDWO,89
2015-08,EC,1
2015-09,CCE,172
2015-09,DC,172
2015-09,EM,172
2015-09,IPO,172
2015-09,PWO,172
2015-09,RMWMO,180
2015-09,RTWQ,172
2015-09,EH,16
2015-09,EI,16
2015-09,ESupC,16
2015-09,MF,16
2015-09,MM,24
2015-09,PF,16
2015-09,PM,16
2015-09,RCWP,24
2015-09,RDWO,16
2015-10,CCE,302
2015-10,DC,302
2015-10,EM,305
2015-10,IPO,302
2015-10,PWO,302
2015-10,RMWMO,316
2015-10,RTWQ,302
2015-10,EH,46
2015-10,EI,46
2015-10,ESupC,46
2015-10,MF,46
2015-10,MM,62
2015-10,PF,46
2015-10,PM,46
2015-10,RCWP,60
2015-10,RDWO,46
2015-10,EC,1
2015-10,ECo,2
2015-10,EF,2
2015-10,HM,2
2015-11,EH,30
2015-11,EI,30
2015-11,ESupC,30
2015-11,MF,30
2015-11,MM,38
2015-11,PF,30
2015-11,PM,30
2015-11,RCWP,38
2015-11,RDWO,30
2015-11,RMWMO,242
2015-11,CCE,234
2015-11,DC,234
2015-11,EM,234
2015-11,IPO,234
2015-11,PWO,234
2015-11,RTWQ,234
2015-12,CCE,1246
2015-12,DC,1246
2015-12,EM,1251
2015-12,IPO,1246
2015-12,PWO,1246
2015-12,RMWMO,1292
2015-12,RTWQ,1246
2015-12,EH,177
2015-12,EI,177
2015-12,ESupC,177
2015-12,MF,177
2015-12,MM,223
2015-12,PF,177
2015-12,PM,177
2015-12,RCWP,223
2015-12,RDWO,177
2015-12,EC,5
2016-01,CCE,706
2016-01,DC,706
2016-01,EM,714
2016-01,IPO,706
2016-01,PWO,706
2016-01,RMWMO,724
2016-01,RTWQ,706
2016-01,EC,3
2016-01,EH,112
2016-01,EI,112
2016-01,ESupC,112
2016-01,MF,112
2016-01,MM,135
2016-01,PF,112
2016-01,PM,112
2016-01,RCWP,130
2016-01,RDWO,112
2016-01,ECo,5
2016-01,EF,5
2016-01,HM,5
2016-02,EH,109
2016-02,EI,109
2016-02,ESupC,109
2016-02,MF,109
2016-02,MM,146
2016-02,PF,109
2016-02,PM,109
2016-02,RCWP,139
2016-02,RDWO,109
2016-02,CCE,746
2016-02,DC,746
2016-02,EM,757
2016-02,IPO,746
2016-02,PWO,746
2016-02,RMWMO,776
2016-02,RTWQ,746
2016-02,ECo,7
2016-02,EF,7
2016-02,HM,7
2016-02,EC,4
2016-03,EH,70
2016-03,EI,70
